identifiant,ville,CP,revenu,remboursement,duree,type,taux
0,OUARGLA,30100,3669.0,1130.05,240,immobilier,1.168
1,ALGER,16009,5310.0,240.0,64,automobile,3.701
1,ALGER,16009,5310.0,1247.85,300,immobilier,1.173
2,ORAN,25010,1873.0,552.54,240,immobilier,0.972
3,ORAN,25010,1684.0,586.03,180,immobilier,1.014
4,ORAN,25012,1476.0,423.61,240,immobilier,1.209
5,ALGER,16016,2476.0,836.89,240,immobilier,1.116
6,CONSTANTINE,31008,1867.0,711.33,240,immobilier,1.196
7,SETIF,13000,5486.0,2956.95,300,immobilier,1.184
8,TELEMCEN,33200,3578.0,751.38,180,immobilier,1.316
9,ORAN,25012,1386.0,612.61,180,immobilier,1.284
10,ALGER,16011,2293.0,378.34,240,immobilier,1.214
11,TELEMCEN,33200,3346.0,1013.84,240,immobilier,1.199
12,ORAN,30006,1597.0,428.0,120,immobilier,1.085
13,ORAN,30016,2556.0,393.62,300,immobilier,1.22
14,OUARGLA,31400,2413.0,1334.39,300,immobilier,1.154
15,ALGER,16003,4109.0,1220.37,240,immobilier,1.272
16,ALGER,16001,6118.0,1505.03,240,immobilier,1.211
17,ALGER,16011,4926.0,1507.36,240,immobilier,1.249
18,SETIF,13000,5717.0,1726.53,300,immobilier,1.105
19,ORAN,16015,1575.0,346.5,240,immobilier,1.2
20,CONSTANTINE,25001,3318.0,1237.61,240,immobilier,1.148
21,ORAN,25012,1572.0,407.15,300,immobilier,1.122
22,SETIF,30000,5838.0,3018.25,240,immobilier,1.229
23,ALGER,16011,4469.0,1018.93,240,immobilier,1.229
24,ORAN,30016,1616.0,602.77,240,immobilier,1.22
25,ALGER,16009,5533.0,1394.32,300,immobilier,1.165
26,ALGER,16017,4265.0,1100.37,240,immobilier,1.198
27,ALGER,16001,1879.0,509.21,180,immobilier,1.064
28,ORAN,30013,1394.0,535.3,300,immobilier,1.206
29,ORAN,25010,2394.0,579.35,240,immobilier,1.019
30,OUARGLA,31000,1785.0,514.08,240,immobilier,1.041
31,TELEMCEN,30300,3398.0,550.48,300,immobilier,1.093
32,TELEMCEN,33200,3419.0,1196.65,180,immobilier,1.222
33,SETIF,13000,4098.0,1032.7,180,immobilier,1.199
34,CONSTANTINE,25001,2688.0,768.77,240,immobilier,1.095
35,ALGER,16116,2172.0,436.57,300,immobilier,1.004
36,ALGER,16012,5525.0,1922.7,240,immobilier,1.26
